x,y
294 ,1523
294 ,1524
294 ,1525
294 ,1526
294 ,1527
294 ,1528
294 ,1529
294 ,1530
294 ,1531
294 ,1532
294 ,1533
294 ,1534
294 ,1535
294 ,1536
295 ,1537
296 ,1538
296 ,1539
296 ,1540
296 ,1541
296 ,1542
296 ,1543
296 ,1544
296 ,1545
296 ,1546
296 ,1547
296 ,1548
296 ,1549
296 ,1550
296 ,1551
296 ,1552
296 ,1553
297 ,1554
297 ,1555
297 ,1556
297 ,1557
297 ,1558
297 ,1559
297 ,1560
298 ,1561
298 ,1562
298 ,1563
298 ,1564
298 ,1565
298 ,1566
298 ,1567
299 ,1568
299 ,1569
299 ,1570
299 ,1571
299 ,1572
299 ,1573
299 ,1574
299 ,1575
300 ,1576
300 ,1577
300 ,1578
300 ,1579
300 ,1580
300 ,1581
300 ,1582
301 ,1583
301 ,1584
301 ,1585
301 ,1586
301 ,1587
301 ,1588
301 ,1589
302 ,1590
302 ,1591
302 ,1592
302 ,1593
302 ,1594
302 ,1595
302 ,1596
302 ,1597
303 ,1598
303 ,1599
303 ,1600
303 ,1601
303 ,1602
303 ,1603
303 ,1604
303 ,1605
303 ,1606
303 ,1607
303 ,1608
303 ,1609
303 ,1610
303 ,1611
303 ,1612
303 ,1613
303 ,1614
303 ,1615
303 ,1616
303 ,1617
303 ,1618
303 ,1619
303 ,1620
303 ,1621
303 ,1622
303 ,1623
304 ,1624
305 ,1625
306 ,1626
306 ,1627
306 ,1628
306 ,1629
306 ,1630
306 ,1631
306 ,1632
306 ,1633
306 ,1634
306 ,1635
306 ,1636
306 ,1637
306 ,1638
306 ,1639
306 ,1640
306 ,1641
306 ,1642
306 ,1643
306 ,1644
306 ,1645
306 ,1646
306 ,1647
306 ,1648
306 ,1649
306 ,1650
306 ,1651
307 ,1652
308 ,1653
308 ,1654
308 ,1655
308 ,1656
308 ,1657
308 ,1658
308 ,1659
308 ,1660
308 ,1661
308 ,1662
308 ,1663
308 ,1664
308 ,1665
308 ,1666
308 ,1667
308 ,1668
308 ,1669
309 ,1670
310 ,1671
310 ,1672
310 ,1673
310 ,1674
310 ,1675
310 ,1676
310 ,1677
310 ,1678
310 ,1679
310 ,1680
310 ,1681
310 ,1682
310 ,1683
310 ,1684
310 ,1685
310 ,1686
310 ,1687
310 ,1688
310 ,1689
310 ,1690
310 ,1691
310 ,1692
310 ,1693
310 ,1694
310 ,1695
310 ,1696
310 ,1697
311 ,1698
312 ,1699
313 ,1700
314 ,1701
315 ,1702
315 ,1703
315 ,1704
315 ,1705
315 ,1706
315 ,1707
315 ,1708
315 ,1709
315 ,1710
315 ,1711
315 ,1712
315 ,1713
315 ,1714
315 ,1715
315 ,1716
315 ,1717
315 ,1718
315 ,1719
315 ,1720
315 ,1721
315 ,1722
315 ,1723
316 ,1724
317 ,1725
318 ,1726
319 ,1727
320 ,1728
320 ,1729
320 ,1730
320 ,1731
320 ,1732
320 ,1733
320 ,1734
320 ,1735
320 ,1736
320 ,1737
321 ,1738
322 ,1739
322 ,1740
322 ,1741
